subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,resp_buttonid,r
1,visual,different_sds,1,2,1,-2.657176776,0.067,1,269.3048305,1,3,-2,3
1,visual,different_sds,1,1,0,-5.670723164,0.067,2,20.03291668,0,3,-1,4
1,visual,different_sds,2,1,0,1.255231429,0.033,1,97.83209133,0,1,1,5
1,visual,different_sds,1,1,1,1.129403539,0.033,1,340.73075,1,1,-1,4
1,visual,different_sds,2,1,0,0.035782739,0.033,1,27.11080213,0,1,1,5
2,visual,different_sds,2,1,1,-2.07853894,0.05,2,91.34512991,0,2,1,5
2,visual,different_sds,1,2,0,0.820213783,0.135,2,242.4834892,1,4,-2,3
2,visual,different_sds,2,1,0,3.313175855,0.067,1,61.51020967,0,3,1,5
2,visual,different_sds,1,1,1,3.189295382,0.05,1,220.1605308,1,2,-1,4
2,visual,different_sds,1,2,1,2.770021345,0.135,1,59.29970167,1,4,-2,3
2,visual,different_sds,1,2,1,-4.175962143,0.135,1,121.6979259,1,4,-2,3
3,visual,different_sds,1,1,1,2.239625795,0.033,1,265.7022592,1,1,-1,4
3,visual,different_sds,1,2,1,1.863248758,0.135,1,64.27635431,1,4,-2,3
3,visual,different_sds,2,3,1,6.630580935,0.135,2,348.1793867,1,4,3,7
3,visual,different_sds,1,1,1,0.589831025,0.033,1,94.78855107,1,1,-1,4
3,visual,different_sds,2,2,0,-3.219406004,0.05,1,115.8033945,0,2,2,6
3,visual,different_sds,1,1,0,27.32582767,0.033,2,28.74526462,0,1,-1,4
4,visual,different_sds,1,2,0,-3.077443481,0.067,2,129.2307692,1,3,-2,3
4,visual,different_sds,1,1,0,-5.788285274,0.05,2,51.24334218,0,2,-1,4
4,visual,different_sds,1,1,1,1.694434474,0.135,1,94.04012653,1,4,-1,4
4,visual,different_sds,2,2,1,-2.729420622,0.135,2,110.6986538,0,4,2,6
4,visual,different_sds,1,3,1,-0.870420623,0.05,1,167.7293532,1,2,-3,2
4,visual,different_sds,1,1,0,7.335161413,0.033,2,239.572753,0,1,-1,4
1,visual,different_sds,2,3,0,6.549760844,0.135,1,12.44337761,1,4,3,7
1,visual,different_sds,2,1,0,0.798618158,0.05,1,256.9885974,0,2,1,5
1,visual,different_sds,2,3,1,-16.49478384,0.067,2,306.3258837,1,3,3,7
1,visual,different_sds,2,1,0,2.434595889,0.033,1,277.0660564,0,1,1,5
1,visual,different_sds,1,1,1,1.41972302,0.05,1,199.3998639,1,2,-1,4
1,visual,different_sds,2,1,1,15.59423241,0.067,2,273.5661567,1,3,1,5
2,visual,different_sds,1,1,0,14.42725131,0.033,2,27.75885541,0,1,-1,4
2,visual,different_sds,1,1,0,-8.095540345,0.135,2,305.0053392,0,4,-1,4
2,visual,different_sds,1,1,1,-2.240026399,0.033,1,259.4294717,1,1,-1,4
2,visual,different_sds,1,2,1,0.255641571,0.067,1,172.2936962,1,3,-2,3
2,visual,different_sds,1,1,0,4.321065649,0.135,2,145.1009348,1,4,-1,4
2,visual,different_sds,1,1,1,2.587276383,0.067,1,184.9484014,1,3,-1,4
3,visual,different_sds,2,3,1,16.09705758,0.067,2,155.7806491,1,3,3,7
3,visual,different_sds,1,1,1,2.442482724,0.067,1,128.0322115,1,3,-1,4
3,visual,different_sds,1,1,0,6.16472445,0.033,2,302.4912089,0,1,-1,4
3,visual,different_sds,2,2,1,-14.78206841,0.05,2,137.7753599,1,2,2,6
3,visual,different_sds,1,3,1,-0.487307252,0.067,1,130.8250712,1,3,-3,2
3,visual,different_sds,1,1,1,0.418306892,0.033,1,37.10466165,1,1,-1,4
4,visual,different_sds,2,1,0,1.810773696,0.05,1,156.4987129,0,2,1,5
4,visual,different_sds,1,1,1,2.838293211,0.033,1,24.74258071,1,1,-1,4
4,visual,different_sds,2,4,0,-4.640922042,0.135,1,227.5930733,0,4,4,8
4,visual,different_sds,1,3,1,-0.099810454,0.05,1,146.9184553,1,2,-3,2
4,visual,different_sds,2,4,1,-11.34728605,0.135,2,42.42705221,1,4,4,8
4,visual,different_sds,1,3,1,-3.060347355,0.135,1,149.2858772,1,4,-3,2
1,visual,different_sds,1,1,1,0.216447354,0.033,1,279.0373282,1,1,-1,4
1,visual,different_sds,2,3,1,-3.420606062,0.067,2,225.7846207,0,3,3,7
1,visual,different_sds,1,1,0,3.050238403,0.05,2,126.9440812,1,2,-1,4
1,visual,different_sds,1,1,0,-27.21456006,0.05,2,119.172206,0,2,-1,4
1,visual,different_sds,2,3,1,10.34016905,0.135,2,174.922743,1,4,3,7
1,visual,different_sds,2,1,0,-0.499594137,0.033,1,251.0561355,0,1,1,5
2,visual,different_sds,1,1,0,-9.099479904,0.033,2,215.5473289,0,1,-1,4
2,visual,different_sds,1,1,1,-1.836689609,0.05,1,229.6725223,1,2,-1,4
2,visual,different_sds,1,2,1,1.865234091,0.067,1,226.6876114,1,3,-2,3
2,visual,different_sds,1,1,1,-3.370429801,0.033,1,74.31496039,1,1,-1,4
2,visual,different_sds,2,1,1,3.417889945,0.135,2,218.5698293,0,4,1,5
2,visual,different_sds,1,2,1,1.87932079,0.05,1,208.6839946,1,2,-2,3
3,visual,different_sds,1,2,1,1.172390345,0.05,1,190.9731444,1,2,-2,3
3,visual,different_sds,1,2,1,0.699028094,0.067,1,221.2452549,1,3,-2,3
3,visual,different_sds,2,3,1,-14.20184241,0.135,2,4.993777885,1,4,3,7
3,visual,different_sds,2,1,0,1.518863724,0.033,1,6.358680996,0,1,1,5
3,visual,different_sds,1,2,0,-1.077174916,0.135,2,100.8737315,1,4,-2,3
3,visual,different_sds,1,2,1,-1.082590135,0.05,1,52.95141035,1,2,-2,3
4,visual,different_sds,1,2,1,-1.677291411,0.05,1,89.01741367,1,2,-2,3
4,visual,different_sds,1,3,1,2.940970465,0.05,1,160.1169238,1,2,-3,2
4,visual,different_sds,2,2,0,-0.229693788,0.05,1,160.0241896,0,2,2,6
4,visual,different_sds,1,1,0,2.825085938,0.05,2,317.0968984,1,2,-1,4
4,visual,different_sds,1,4,1,-4.026489647,0.135,1,202.3920579,1,4,-4,1
4,visual,different_sds,1,4,1,2.682886689,0.135,1,130.6557378,1,4,-4,1
1,visual,different_sds,2,2,0,-3.822364124,0.135,1,186.3795649,0,4,2,6
1,visual,different_sds,2,1,0,5.329101244,0.033,1,276.6540092,1,1,1,5
1,visual,different_sds,1,2,1,2.490934494,0.135,1,212.3886611,1,4,-2,3
1,visual,different_sds,2,1,1,0.737975862,0.067,2,25.81300975,0,3,1,5
1,visual,different_sds,1,1,1,-0.99796009,0.05,1,227.7576682,1,2,-1,4
1,visual,different_sds,1,2,1,5.236763638,0.067,1,338.7578248,0,3,-2,3
2,visual,different_sds,2,3,1,35.18854347,0.05,2,349.8868128,1,2,3,7
2,visual,different_sds,2,3,1,12.18798413,0.067,2,145.6444647,1,3,3,7
2,visual,different_sds,2,2,1,8.882782061,0.135,2,347.2675554,1,4,2,6
2,visual,different_sds,2,1,1,-4.480801388,0.067,2,294.6839065,0,3,1,5
2,visual,different_sds,2,1,1,-2.176603518,0.033,2,141.2090239,0,1,1,5
2,visual,different_sds,2,1,0,4.869384329,0.135,1,201.7052122,0,4,1,5
3,visual,different_sds,1,1,1,0.297684812,0.067,1,11.13104916,1,3,-1,4
3,visual,different_sds,2,2,0,-5.007076719,0.135,1,97.06773399,1,4,2,6
3,visual,different_sds,1,1,1,1.701417293,0.033,1,250.1852579,1,1,-1,4
3,visual,different_sds,1,1,0,1.786191359,0.05,2,260.6508468,1,2,-1,4
3,visual,different_sds,2,1,0,1.651288732,0.033,1,48.95435049,0,1,1,5
3,visual,different_sds,1,1,1,-2.452550913,0.05,1,150.3050767,1,2,-1,4
4,visual,different_sds,1,3,1,-1.735071505,0.033,1,191.3889364,1,1,-3,2
4,visual,different_sds,2,4,1,-3.928675991,0.033,2,163.3204729,0,1,4,8
4,visual,different_sds,2,4,1,8.866918231,0.135,2,140.1364758,1,4,4,8
4,visual,different_sds,2,3,1,-25.89596196,0.067,2,139.3960333,1,3,3,7
4,visual,different_sds,2,4,1,11.57882674,0.067,2,198.2665253,1,3,4,8
4,visual,different_sds,1,3,1,1.157659034,0.135,1,200.5342183,1,4,-3,2
1,visual,different_sds,1,2,1,3.037678801,0.135,1,45.18371514,1,4,-2,3
1,visual,different_sds,1,3,1,0.649886114,0.135,1,31.45198695,1,4,-3,2
1,visual,different_sds,1,2,1,-4.502424687,0.135,1,21.41743868,1,4,-2,3
1,visual,different_sds,2,1,0,5.512791424,0.033,1,201.5714294,1,1,1,5
1,visual,different_sds,2,3,0,-5.309991953,0.067,1,117.5013455,1,3,3,7
1,visual,different_sds,2,3,0,-1.389173875,0.135,1,79.04469104,0,4,3,7
2,visual,different_sds,1,2,0,0.011632483,0.135,2,237.0737209,1,4,-2,3
2,visual,different_sds,1,1,1,0.602223355,0.05,1,156.2683356,1,2,-1,4
2,visual,different_sds,1,1,1,-0.75489241,0.033,1,117.1700069,1,1,-1,4
2,visual,different_sds,1,1,1,-2.684223784,0.033,1,51.92489955,1,1,-1,4
2,visual,different_sds,2,1,0,5.712501847,0.135,1,235.9918863,1,4,1,5
2,visual,different_sds,1,1,0,-11.55092493,0.033,2,38.11890712,0,1,-1,4
3,visual,different_sds,2,2,0,-6.224692327,0.033,1,155.1005169,1,1,2,6
3,visual,different_sds,2,1,1,-3.235638579,0.033,2,38.43354756,0,1,1,5
3,visual,different_sds,1,1,0,-4.092096951,0.067,2,203.6050587,1,3,-1,4
3,visual,different_sds,2,1,1,-2.918114895,0.033,2,35.03241952,0,1,1,5
3,visual,different_sds,1,2,1,-3.339890824,0.033,1,231.7987149,1,1,-2,3
3,visual,different_sds,1,1,1,-1.259972504,0.067,1,57.10286698,1,3,-1,4
4,visual,different_sds,1,1,0,-5.093981371,0.033,2,141.009008,0,1,-1,4
4,visual,different_sds,1,1,1,-0.992124286,0.067,1,55.1237177,1,3,-1,4
4,visual,different_sds,1,4,1,0.377782298,0.067,1,117.6883619,1,3,-4,1
4,visual,different_sds,1,1,0,-5.782695403,0.033,2,45.57050178,0,1,-1,4
