subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
2,visual,different_sds,1,2,0,0.353888558,0.135,2,317.9865736,1,3,4
2,visual,different_sds,1,2,0,11.40786483,0.067,2,119.2848558,0,3,3
2,visual,different_sds,2,2,1,3.700496227,0.067,2,213.9686632,0,6,3
2,visual,different_sds,1,2,0,1.485012822,0.135,2,276.790022,1,3,4
2,visual,different_sds,2,1,0,-2.844838495,0.033,1,253.7026201,0,5,1
3,visual,different_sds,1,4,1,0.799720862,0.05,1,295.1947381,1,1,2
3,visual,different_sds,1,4,0,-1.973523196,0.067,2,129.4146142,1,1,3
3,visual,different_sds,2,2,1,-8.662603784,0.033,2,16.37689783,1,6,1
3,visual,different_sds,1,2,0,-23.51446068,0.033,2,228.8124071,0,3,1
3,visual,different_sds,1,2,0,-6.692587273,0.033,2,203.6342213,0,3,1
3,visual,different_sds,2,2,0,3.779954109,0.033,1,6.734828641,0,6,1
4,visual,different_sds,2,1,0,2.543787733,0.033,1,137.4667471,0,5,1
4,visual,different_sds,2,1,1,-15.5957089,0.067,2,169.2120428,1,5,3
4,visual,different_sds,2,1,1,10.39155471,0.05,2,182.7375832,1,5,2
4,visual,different_sds,2,1,0,-2.034134066,0.05,1,267.4274673,0,5,2
4,visual,different_sds,2,1,1,-9.684239114,0.067,2,256.9048543,1,5,3
4,visual,different_sds,2,1,0,1.97200362,0.033,1,318.6396868,0,5,1
5,visual,different_sds,1,2,1,2.016657028,0.135,1,230.0290914,1,3,4
5,visual,different_sds,2,1,1,-0.313702649,0.067,2,44.55820222,0,5,3
5,visual,different_sds,1,1,0,-0.989227193,0.05,2,299.8878668,1,4,2
5,visual,different_sds,2,1,0,0.780041589,0.033,1,346.7740226,0,5,1
5,visual,different_sds,1,1,1,1.150889236,0.033,1,358.769331,1,4,1
5,visual,different_sds,2,1,0,0.942225361,0.033,1,164.517699,0,5,1
6,visual,different_sds,1,1,1,1.577922116,0.033,1,307.0668486,1,4,1
6,visual,different_sds,1,1,0,-4.229567246,0.033,2,270.1794059,1,4,1
6,visual,different_sds,1,2,0,0.574595007,0.067,2,53.04002283,1,3,3
6,visual,different_sds,1,3,1,2.713223785,0.067,1,348.6269484,1,2,3
6,visual,different_sds,2,2,1,-8.914485396,0.05,2,66.64684184,1,6,2
6,visual,different_sds,1,1,0,-6.683295369,0.033,2,102.3398132,0,4,1
7,visual,different_sds,1,1,1,-0.989522643,0.033,1,339.1626204,1,4,1
7,visual,different_sds,1,1,1,1.017014841,0.05,1,175.3526245,1,4,2
7,visual,different_sds,1,1,1,-1.521890416,0.05,1,118.7173407,1,4,2
7,visual,different_sds,1,3,1,-2.990011814,0.135,1,121.3470447,1,2,4
7,visual,different_sds,2,3,1,-6.460852354,0.135,2,135.3276092,1,7,4
7,visual,different_sds,1,3,1,0.496764068,0.135,1,72.23455308,1,2,4
8,visual,different_sds,1,2,0,4.349746911,0.067,2,322.6836804,1,3,3
8,visual,different_sds,1,2,1,-4.670399352,0.067,1,158.2662717,1,3,3
8,visual,different_sds,2,3,1,4.813628882,0.05,2,20.06717271,0,7,2
8,visual,different_sds,1,1,0,15.61609248,0.033,2,70.19670986,0,4,1
8,visual,different_sds,1,4,0,8.107236929,0.05,2,114.4440646,0,1,2
8,visual,different_sds,1,2,1,-1.741068777,0.067,1,157.9561948,1,3,3
1,visual,different_sds,1,1,1,2.097383516,0.067,1,8.278610364,1,4,3
1,visual,different_sds,1,1,0,-6.587113323,0.05,2,57.14463971,0,4,2
1,visual,different_sds,1,1,0,-6.764608182,0.033,2,198.9954246,0,4,1
1,visual,different_sds,2,1,1,-12.83501526,0.067,2,239.2702058,1,5,3
1,visual,different_sds,1,1,1,-0.734564942,0.067,1,288.245925,1,4,3
1,visual,different_sds,1,1,1,1.016833247,0.067,1,177.0984541,1,4,3
2,visual,different_sds,1,1,1,0.920161345,0.033,1,147.2659741,1,4,1
2,visual,different_sds,1,2,1,-0.006613787,0.135,1,264.8146343,1,3,4
2,visual,different_sds,1,1,1,-1.263890774,0.033,1,229.1933309,1,4,1
2,visual,different_sds,2,1,0,-0.872871206,0.033,1,286.3660267,0,5,1
2,visual,different_sds,1,1,0,14.23898645,0.067,2,219.555371,0,4,3
2,visual,different_sds,2,1,0,-0.857255336,0.067,1,121.8689644,0,5,3
3,visual,different_sds,1,4,1,-0.100476739,0.135,1,262.4507679,1,1,4
3,visual,different_sds,1,4,1,0.003882284,0.067,1,279.6205603,1,1,3
3,visual,different_sds,1,4,1,-0.132074103,0.067,1,67.9897723,1,1,3
3,visual,different_sds,1,4,1,-0.052648208,0.067,1,99.88444076,1,1,3
3,visual,different_sds,1,4,1,0.287487034,0.067,1,116.8770194,1,1,3
3,visual,different_sds,2,4,0,3.349215781,0.05,1,97.75536915,0,8,2
4,visual,different_sds,1,1,0,-1.407171251,0.033,2,205.8559036,1,4,1
4,visual,different_sds,1,1,1,-0.336128211,0.067,1,6.56271269,1,4,3
4,visual,different_sds,2,1,1,-17.05138201,0.05,2,139.1953519,1,5,2
4,visual,different_sds,1,1,1,1.918138736,0.135,1,344.8324625,1,4,4
4,visual,different_sds,1,1,0,-9.526250267,0.067,2,244.6782046,0,4,3
4,visual,different_sds,2,1,1,0.486655097,0.05,2,159.8481221,0,5,2
5,visual,different_sds,1,1,1,-3.284975004,0.033,1,112.3396532,1,4,1
5,visual,different_sds,1,1,0,-2.780408339,0.033,2,54.52886008,1,4,1
5,visual,different_sds,2,1,0,-1.944342801,0.033,1,284.4337749,0,5,1
5,visual,different_sds,2,3,1,-10.1973706,0.135,2,4.553344575,1,7,4
5,visual,different_sds,2,2,1,4.082629887,0.067,2,350.6303578,0,6,3
5,visual,different_sds,1,3,0,1.403416089,0.05,2,48.14797181,1,2,2
6,visual,different_sds,1,1,1,3.339075154,0.033,1,221.0926933,1,4,1
6,visual,different_sds,2,3,1,9.635054294,0.05,2,87.15316501,1,7,2
