subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
4,audio,different_sds,2,2,0,2858.35825,26,1,79.75417188,0,6,3
5,audio,different_sds,2,2,0,2891.770018,26,1,12.6298791,0,6,3
5,audio,different_sds,2,3,1,3790.14826,26,2,59.59987146,1,7,3
5,audio,different_sds,2,1,1,2505.8222,9,2,198.960453,0,5,2
5,audio,different_sds,1,2,1,2684.392676,26,1,332.688975,1,3,3
5,audio,different_sds,1,1,0,3066.74471,4,2,319.870589,0,4,1
5,audio,different_sds,1,1,0,2999.721348,26,2,125.7319801,0,4,3
6,audio,different_sds,1,1,0,2120.686661,9,2,254.5368649,0,4,2
6,audio,different_sds,1,1,0,2699.312837,9,2,21.0288647,1,4,2
6,audio,different_sds,2,2,0,2749.959168,9,1,301.670265,0,6,2
6,audio,different_sds,1,1,0,2427.960938,9,2,280.1615424,0,4,2
6,audio,different_sds,1,1,0,4176.103868,9,2,71.12793648,0,4,2
6,audio,different_sds,2,1,0,2544.188628,26,1,255.3190596,0,5,3
7,audio,different_sds,2,4,0,2911.943458,55,1,115.7546589,0,8,4
7,audio,different_sds,1,2,1,2647.56488,4,1,255.9793762,1,3,1
7,audio,different_sds,1,1,1,2406.006124,4,1,225.8151326,0,4,1
7,audio,different_sds,2,1,1,3007.227415,4,2,159.7536607,1,5,1
7,audio,different_sds,1,1,1,2710.625317,9,1,280.9279877,1,4,2
7,audio,different_sds,1,4,1,2676.313492,26,1,20.58290589,1,1,3
8,audio,different_sds,1,1,0,2177.862256,4,2,172.6718175,0,4,1
8,audio,different_sds,2,1,0,2888.680461,9,1,311.9045339,0,5,2
8,audio,different_sds,1,2,1,2500.957753,55,1,254.9533616,1,3,4
8,audio,different_sds,1,1,1,2742.769517,9,1,6.971116482,1,4,2
8,audio,different_sds,2,1,1,2109.170785,4,2,45.40613976,1,5,1
8,audio,different_sds,1,4,0,2578.379197,55,2,205.3378436,1,1,4
1,audio,different_sds,1,1,1,2425.788065,4,1,351.3518625,0,4,1
1,audio,different_sds,1,1,0,2560.250709,4,2,84.39785986,1,4,1
1,audio,different_sds,1,1,0,2943.737341,55,2,287.0232662,0,4,4
1,audio,different_sds,1,1,0,3245.699825,9,2,153.8603383,0,4,2
1,audio,different_sds,1,1,1,2752.230558,9,1,23.46171627,1,4,2
1,audio,different_sds,1,2,0,2642.967064,4,2,14.98352355,1,3,1
2,audio,different_sds,1,1,0,3420.553564,9,2,337.1351969,0,4,2
2,audio,different_sds,2,3,1,3124.529348,26,2,232.3018442,1,7,3
2,audio,different_sds,1,2,1,2713.497349,26,1,246.2702771,1,3,3
2,audio,different_sds,1,2,0,3016.598366,26,2,12.24592866,0,3,3
2,audio,different_sds,1,1,1,2809.909431,9,1,332.4768801,1,4,2
2,audio,different_sds,1,2,1,2646.290162,26,1,110.4041028,1,3,3
3,audio,different_sds,1,4,1,2634.1581,55,1,252.5680463,1,1,4
3,audio,different_sds,1,4,1,2737.49664,26,1,293.1925392,1,1,3
3,audio,different_sds,2,1,1,2609.820872,9,2,339.4971629,0,5,2
3,audio,different_sds,2,4,1,3850.409657,55,2,71.58576568,1,8,4
3,audio,different_sds,2,4,1,2294.059851,55,2,32.43246443,1,8,4
3,audio,different_sds,2,1,0,2638.916176,55,1,113.1451291,0,5,4
4,audio,different_sds,2,1,1,2081.509512,9,2,351.213186,1,5,2
4,audio,different_sds,1,1,0,2627.974078,4,2,108.9381444,1,4,1
4,audio,different_sds,1,1,0,3062.384141,9,2,318.7677039,0,4,2
4,audio,different_sds,2,3,1,2101.855983,55,2,124.5416499,1,7,4
4,audio,different_sds,2,3,1,1490.203183,9,2,81.26315472,1,7,2
4,audio,different_sds,2,2,0,2681.51938,26,1,354.5555517,0,6,3
5,audio,different_sds,1,1,1,2861.073564,55,1,133.4429461,1,4,4
5,audio,different_sds,2,1,0,2599.937604,9,1,142.0092739,0,5,2
5,audio,different_sds,1,1,1,2675.639751,9,1,268.2547711,1,4,2
5,audio,different_sds,1,2,1,2737.164133,55,1,28.77739233,1,3,4
5,audio,different_sds,1,2,1,2472.48385,55,1,163.3399766,0,3,4
5,audio,different_sds,2,1,1,2279.716009,4,2,300.0624266,1,5,1
6,audio,different_sds,2,1,0,2651.958141,9,1,114.5252948,0,5,2
6,audio,different_sds,1,1,0,2941.044092,4,2,130.9691361,0,4,1
6,audio,different_sds,1,1,0,1649.502834,4,2,345.0060959,0,4,1
6,audio,different_sds,2,1,1,2577.465992,55,2,340.9151085,0,5,4
6,audio,different_sds,1,1,1,2652.42498,4,1,64.47068685,1,4,1
6,audio,different_sds,1,1,1,2560.123422,4,1,246.0735824,1,4,1
7,audio,different_sds,2,1,1,3181.190758,9,2,248.1223111,1,5,2
7,audio,different_sds,1,1,1,2825.585478,9,1,271.2349903,1,4,2
7,audio,different_sds,1,2,1,2614.978819,26,1,73.8870153,1,3,3
7,audio,different_sds,1,1,1,2745.401184,9,1,297.1602622,1,4,2
7,audio,different_sds,2,4,1,3181.454137,26,2,97.79258265,1,8,3
7,audio,different_sds,1,4,1,2748.104076,55,1,39.9144754,1,1,4
8,audio,different_sds,2,1,1,2297.006648,9,2,85.68318768,1,5,2
8,audio,different_sds,1,1,1,2711.02381,55,1,92.16553002,1,4,4
8,audio,different_sds,2,1,1,2427.857657,9,2,263.779143,1,5,2
8,audio,different_sds,2,2,1,2990.781942,26,2,350.0668995,1,6,3
8,audio,different_sds,1,3,1,2549.141637,55,1,54.95775154,1,2,4
8,audio,different_sds,1,3,1,2780.03072,26,1,352.6955974,1,2,3
1,audio,different_sds,1,2,0,3524.97933,4,2,164.678076,0,3,1
1,audio,different_sds,1,2,1,2583.582748,55,1,128.4993962,1,3,4
1,audio,different_sds,1,2,1,2757.361163,26,1,56.60040256,1,3,3
1,audio,different_sds,2,1,0,2825.484475,26,1,65.79928792,0,5,3
1,audio,different_sds,2,1,0,2816.935928,9,1,224.2237154,0,5,2
1,audio,different_sds,2,1,0,2715.506661,55,1,127.4674083,0,5,4
2,audio,different_sds,1,1,1,2841.402106,4,1,114.7261054,1,4,1
2,audio,different_sds,2,3,1,3234.433677,55,2,345.3111554,1,7,4
2,audio,different_sds,1,1,0,3403.572568,9,2,142.1357845,0,4,2
2,audio,different_sds,2,2,0,2555.965301,26,1,170.4476694,0,6,3
2,audio,different_sds,1,1,1,2912.410741,4,1,278.873589,1,4,1
2,audio,different_sds,1,1,1,2848.674775,4,1,283.0225595,1,4,1
3,audio,different_sds,1,4,0,2633.947406,55,2,209.1512927,1,1,4
3,audio,different_sds,2,1,0,2795.030951,9,1,215.9568821,0,5,2
3,audio,different_sds,2,1,1,2754.783745,9,2,46.00303859,0,5,2
3,audio,different_sds,2,1,1,2578.234028,4,2,195.961949,0,5,1
3,audio,different_sds,1,3,0,2822.242328,26,2,331.6161872,1,2,3
3,audio,different_sds,1,1,0,2874.428679,9,2,189.7186248,1,4,2
4,audio,different_sds,1,1,1,2780.673709,9,1,291.0279064,1,4,2
4,audio,different_sds,1,1,1,2642.179504,9,1,40.97192083,1,4,2
4,audio,different_sds,2,1,0,2665.284281,9,1,0.832840928,0,5,2
4,audio,different_sds,1,2,1,2680.835149,26,1,232.1203814,1,3,3
4,audio,different_sds,2,1,1,2783.050634,4,2,14.14938591,0,5,1
4,audio,different_sds,2,2,1,2069.674772,55,2,271.641595,1,6,4
5,audio,different_sds,2,1,1,3202.111893,4,2,307.3871939,1,5,1
5,audio,different_sds,1,3,1,2821.382141,55,1,76.40092064,1,2,4
5,audio,different_sds,2,1,0,2600.439027,9,1,275.5216451,0,5,2
5,audio,different_sds,1,1,1,2610.20617,4,1,297.9069255,1,4,1
5,audio,different_sds,1,3,1,2648.510036,55,1,217.4765869,1,2,4
5,audio,different_sds,1,1,1,2743.282423,26,1,6.917333705,1,4,3
6,audio,different_sds,2,4,0,2626.763175,55,1,83.18735142,0,8,4
6,audio,different_sds,1,1,0,3477.001997,9,2,247.4711867,0,4,2
6,audio,different_sds,2,2,0,2796.009205,55,1,121.2337952,0,6,4
6,audio,different_sds,2,2,0,2724.667658,9,1,56.85891147,0,6,2
6,audio,different_sds,2,2,0,2838.656299,9,1,83.0207526,0,6,2
6,audio,different_sds,2,1,1,2335.641076,4,2,252.7979423,1,5,1
7,audio,different_sds,1,1,1,2678.214329,9,1,332.5705368,1,4,2
7,audio,different_sds,2,1,1,2832.705423,9,2,59.82302937,0,5,2
7,audio,different_sds,2,3,0,2566.128369,55,1,199.1025832,0,7,4
7,audio,different_sds,2,4,1,3209.076711,55,2,271.4596072,1,8,4
7,audio,different_sds,1,3,1,2604.999041,26,1,21.52470436,1,2,3
7,audio,different_sds,1,1,1,2505.928879,4,1,6.926532274,1,4,1
8,audio,different_sds,1,2,0,2601.385722,9,2,183.4473563,1,3,2
8,audio,different_sds,2,1,1,2924.455804,26,2,278.844827,1,5,3
8,audio,different_sds,2,1,1,2738.629774,55,2,129.8153638,0,5,4
8,audio,different_sds,2,2,1,3073.086651,55,2,232.8040484,1,6,4
8,audio,different_sds,1,4,1,2664.689606,55,1,19.65913406,1,1,4
8,audio,different_sds,1,3,1,2704.185857,26,1,303.8288938,1,2,3
1,audio,different_sds,1,1,1,2765.024619,4,1,180.18864,1,4,1
1,audio,different_sds,1,2,0,2695.550218,26,2,167.908854,1,3,3
1,audio,different_sds,2,3,1,1990.877103,26,2,304.7549503,1,7,3
1,audio,different_sds,1,2,1,2569.506692,26,1,117.270933,1,3,3
1,audio,different_sds,2,3,1,3839.576714,55,2,140.0156955,1,7,4
1,audio,different_sds,1,1,1,2730.836103,9,1,357.6903796,1,4,2
2,audio,different_sds,1,2,1,2829.196866,26,1,262.3390717,1,3,3
2,audio,different_sds,1,1,0,2555.801219,4,2,135.2548249,1,4,1
2,audio,different_sds,2,3,1,3123.6585,55,2,241.4017804,1,7,4
2,audio,different_sds,2,3,1,3426.211459,55,2,150.6303984,1,7,4
2,audio,different_sds,1,1,0,3216.91913,9,2,56.03987298,0,4,2
2,audio,different_sds,2,2,1,2581.301068,55,2,332.6860516,0,6,4
3,audio,different_sds,2,1,1,2888.915118,9,2,204.7767997,0,5,2
3,audio,different_sds,1,1,0,3058.307654,4,2,92.22467704,0,4,1
3,audio,different_sds,2,3,0,2859.671845,26,1,50.33081153,0,7,3
3,audio,different_sds,1,3,1,2731.191625,26,1,222.2812251,1,2,3
3,audio,different_sds,1,1,0,2978.265832,4,2,1.509480868,0,4,1
3,audio,different_sds,1,1,0,2391.044106,9,2,177.9986448,0,4,2
4,audio,different_sds,2,3,1,1915.662597,55,2,320.4292523,1,7,4
4,audio,different_sds,2,1,0,2766.287114,9,1,13.83910621,0,5,2
4,audio,different_sds,1,2,0,2608.621422,55,2,58.59485645,1,3,4
4,audio,different_sds,2,2,0,2800.442725,55,1,74.42344282,0,6,4
4,audio,different_sds,1,1,0,2910.771773,4,2,354.6575898,1,4,1
4,audio,different_sds,1,1,1,2621.456245,4,1,109.5051507,1,4,1
5,audio,different_sds,2,1,0,2723.037197,9,1,234.7732042,0,5,2
5,audio,different_sds,2,1,0,2675.431154,9,1,217.9925401,0,5,2
5,audio,different_sds,2,1,1,2396.36433,4,2,115.7567994,1,5,1
5,audio,different_sds,2,3,1,1472.408774,26,2,110.9699465,1,7,3
5,audio,different_sds,1,2,1,2782.055404,26,1,109.8582485,1,3,3
5,audio,different_sds,1,2,1,2765.080716,26,1,247.3291355,1,3,3
6,audio,different_sds,1,1,0,3389.491227,4,2,288.1235621,0,4,1
6,audio,different_sds,1,1,1,2807.736979,4,1,282.3254225,1,4,1
6,audio,different_sds,1,2,1,2741.592378,9,1,182.1236241,1,3,2
6,audio,different_sds,1,1,1,2604.00162,4,1,51.448388,1,4,1
6,audio,different_sds,2,1,0,2699.984799,55,1,115.8117781,0,5,4
6,audio,different_sds,1,1,1,2741.07651,4,1,258.6692684,1,4,1
7,audio,different_sds,1,3,1,2761.25129,55,1,253.6222915,1,2,4
7,audio,different_sds,1,4,0,2623.51597,55,2,119.2615955,1,1,4
7,audio,different_sds,2,3,1,3066.504659,26,2,179.9978284,1,7,3
7,audio,different_sds,2,1,0,2516.900685,9,1,344.1559598,0,5,2
7,audio,different_sds,1,1,0,2332.850322,4,2,219.1446428,0,4,1
7,audio,different_sds,2,1,0,2572.419963,4,1,135.2689123,0,5,1
8,audio,different_sds,2,2,0,2508.165178,55,1,11.9893406,0,6,4
8,audio,different_sds,1,2,1,2682.856231,55,1,191.1315222,1,3,4
8,audio,different_sds,1,2,1,2689.332809,55,1,185.2802173,1,3,4
8,audio,different_sds,1,2,1,2621.515756,26,1,217.4925965,1,3,3
8,audio,different_sds,2,1,0,2786.899702,9,1,271.8121877,0,5,2
8,audio,different_sds,2,1,1,1828.963151,4,2,309.1390915,1,5,1
1,audio,different_sds,2,1,0,2793.300184,4,1,289.35125,0,5,1
1,audio,different_sds,1,2,1,2723.017757,55,1,210.8324369,1,3,4
1,audio,different_sds,2,1,1,2675.012763,9,2,166.4118004,0,5,2
1,audio,different_sds,2,1,0,2473.078264,9,1,200.3622274,1,5,2
1,audio,different_sds,1,1,1,2775.850149,26,1,23.96054102,1,4,3
1,audio,different_sds,2,2,1,2434.893981,55,2,192.8508804,1,6,4
2,audio,different_sds,1,1,1,2527.32414,4,1,211.0199262,1,4,1
2,audio,different_sds,1,1,1,2757.857996,9,1,345.4771381,1,4,2
2,audio,different_sds,1,1,1,2522.884559,4,1,176.2434808,1,4,1
2,audio,different_sds,2,3,1,2155.228857,55,2,89.8199476,1,7,4
2,audio,different_sds,1,1,0,2467.275452,9,2,86.82480394,0,4,2
2,audio,different_sds,2,2,1,2974.610829,55,2,219.6404123,1,6,4
3,audio,different_sds,2,1,1,3270.938945,9,2,50.49538442,1,5,2
3,audio,different_sds,2,1,0,2628.908933,4,1,347.511883,0,5,1
3,audio,different_sds,1,1,0,2439.538594,4,2,44.91105818,0,4,1
3,audio,different_sds,1,3,1,2581.155467,26,1,116.4216205,1,2,3
3,audio,different_sds,1,3,1,2550.682851,26,1,27.9136658,1,2,3
3,audio,different_sds,2,1,1,2481.638703,55,2,232.2044963,1,5,4
4,audio,different_sds,1,1,0,2900.584052,9,2,99.86425638,1,4,2
4,audio,different_sds,2,3,1,2111.951656,55,2,3.925168934,1,7,4
4,audio,different_sds,1,2,0,2758.697961,26,2,307.0197226,1,3,3
4,audio,different_sds,1,2,0,2997.072921,9,2,130.1834475,0,3,2
4,audio,different_sds,1,1,1,2693.209339,4,1,271.3998341,1,4,1
